parent_asin,title,raw_leaf_category,raw_category_path,raw_price,raw_store,details_department,details_color,details_material,details_brand,details_size,features_excerpt,description_excerpt,review_category,review_audience,review_color,review_material,review_brand,review_size,review_use_case,review_feature,review_data_issues,review_notes
B086XM916Q,"Totes Women's Palm Tree Print and Solid Reversible Rain Poncho, Navy",Westlake,"Clothing, Shoes & Jewelry > Westlake",,totes,,,,,,Snap closure Machine wash cold with like colors delicate cycle with cold water and mild soap. Do not bleach. Tumble dry low. Remove promptly. Cool iron if necessary.,,,,,,,,,,,
B072ZZM7DN,Dynen Women's Floral Print Off Shoulder Ruffle Party Long Maxi Dress,Casual,"Clothing, Shoes & Jewelry > Women > Clothing > Dresses > Casual",,Dynen,Womens,,,,,"95% Polyester, 5% Spandex Pull On closure Hand Wash Only ""Tropical Flowers Dress"" dress is made of Silky stretchy fabric that is very soft, light and cozy to wear that when you touch it it feels like summer. Occasion: Suitable for Hawaiian,",This Floral Off Shoulder Maxi Dress is perfect for spring and summer! You can wear it casually or for a special occasion! Love the fabric and off shoulder style on this cute dress. Measurements Please check your measurements to make sure th,,,,,,,,,,
B07DVCLXC4,"Soojun Men's Cotton Relaxed Fit Full Elastic Waist Pants, Navy, 38W × 32L",Casual,"Clothing, Shoes & Jewelry > Men > Clothing > Pants > Casual",,Soojun,Mens,,,,,Slip On closure,,,,,,,,,,,
B087PZV9YQ,VIKITA Toddler Girls Dresses Sequin Heart Short Sleeve Girl Dress for Kids 6-7 Years SH4588,Casual,"Clothing, Shoes & Jewelry > Girls > Clothing > Dresses > Casual",,VIKITA,girls,,,,,Machine Wash,,,,,,,,,,,
B07XGMG5Y8,Amazon Essentials Men's Skinny-Fit Lightweight Stretch Pant,Casual,"Clothing, Shoes & Jewelry > Men > Clothing > Pants > Casual",,Amazon Essentials,mens,,,Amazon Essentials,,"97% Cotton, 3% Spandex Imported Button closure Machine Wash This easy-wearing pant features a classic look that shifts from weekday to weekend without missing a beat Everyday made better: we listen to customer feedback and fine-tune every d","Amazon Essentials is focused on creating affordable, high-quality, and long-lasting everyday clothing you can rely on. Our line of men's must-haves includes polo shirts, chino pants, classic-fit shorts, casual button-downs, and crew-neck te",,,,,,,,,,
B07SHDBZQC,"Aifer Women's Casual Crew Neck Sleeveless Tank Ruched Tulip Hem Ribbed Club Bodycon Short Mini Dress (Dark Gray, Large)",Casual,"Clothing, Shoes & Jewelry > Women > Clothing > Dresses > Casual",,Aifer,Womens,,,,,"95%Rayon，5% Spandex Pull On closure Hand Wash Only Features: Thanks to the pull on closure, this short dresses can be dressed up and down easily. This summer party dress designed with crew neckline, sleeveless, solid color, above the knee,a",,,,,,,,,,,
B00OI0CBJQ,Michael Kors Women's Parker Two-Tone Watch MK6055,Wrist Watches,"Clothing, Shoes & Jewelry > Women > Watches > Wrist Watches",165.0,Michael Kors,Womens,,,Michael Kors Watches MFG Code,,Two-tone bracelet watch featuring crystal-embellished bezel and textured dial with crystal markers and three subdials 33-mm stainless steel case with mineral dial window Quartz movement with analog display Stainless steel bracelet with fold,This two-tone stainless steel Michael Kors watch doubles up on sparkle with a pave crystal top ring and indexes. Length adjusts by having links removed.,,,,,,,,,,
B00ID649CI,Columbia Men's CT009-005 Venture Digital Display Quartz Black Watch,Wrist Watches,"Clothing, Shoes & Jewelry > Men > Watches > Wrist Watches",,Columbia,mens,,,Columbia,,Compass; luminous dial Rotating bezel Stop watch Alarm mode Water-resistant to 30 m (30 feet),"Columbia has been dedicated to creating innovative, rugged sportswear and accessories for outdoors enthusiasts for more than 70 years. The people behind the brand bring their personal passion for the outdoors to everything they do, meaning ",,,,,,,,,,
B07FMKRLHW,Unique LED Watch Fashion Sport Digital Watch for Boys Girls Men Women Wristwatch - Pink,Wrist Watches,"Clothing, Shoes & Jewelry > Men > Watches > Wrist Watches",,SKMEI,Unisex-adult,,,SKMEI,,,,,,,,,,,,,
B004O6Z9EI,Armitron Men's 20/4507SVTT Genuine Crystal Two-Tone Dress Bracelet Watch,Wrist Watches,"Clothing, Shoes & Jewelry > Men > Watches > Wrist Watches",,Armitron,Mens,,,Armitron,,Silver-tone dial with 8 genuine crystal markers at 12-3-6-9 Gold-tone hour hands Sweep second hand Two-tone adjustable bracelet with one touch two button fold over clasp Water resistant to 165 feet (50 M): suitable for swimming and showerin,"Classy and reliable, this watch adds a level of sophistication to the modern man's wardrobe. This two-tone Armitron timepiece shows off a rectangular dial that looks great with a dress shirt and adds class to everyday wear.",,,,,,,,,,
B002C1B7KM,K&BROS Women's 9544-4M LIFETIME Digital Orange Silicon Watch,Wrist Watches,"Clothing, Shoes & Jewelry > Women > Watches > Wrist Watches",,K&Bros,womens,,,K&BROS,,"Made in China, Italian design; precise Digital quartz movement Protective plastic blister protects watch movement from water and liquids Case diameter : 22.5 mm Elastic silicon band; digital clear crystals dial; chronometer, day, month and ","Complete with a plastic ""blister"" that protects the movement from water or other liquids and boasting an edgy Italian design, the K&BROS Women's LIFETIME Digital Orange Silicon Watch #9544-4M is a straightforward, sporty timepiece with atti",,,,,,,,,,
B083NKWX42,JENN ARDOR Comfortable Women's Platform Low Top Sneakers Lace Up Casual Canvas Shoes Walking Flats for Women,Fashion Sneakers,"Clothing, Shoes & Jewelry > Women > Shoes > Fashion Sneakers",,JENN ARDOR,womens,,,,,Rubber sole New upgrade: the 1.24 inch high rubber sole gives you a different experience. The antiskid rubber sole has been adjusted and improved several times by us to give you a more comfortable feeling and stability. Timeless style: In a,,,,,,,,,,,
B095ZSYL1P,MARC JOSEPH NEW YORK Mens Fashion Sneakers Non Slip Removable Insole Breathable Comfortable Classic Business Casual Laceup Shoes,Fashion Sneakers,"Clothing, Shoes & Jewelry > Men > Shoes > Fashion Sneakers",29.95,MARC JOSEPH NEW YORK,Mens,,,,,"Leather sole TRUE TO SIZE.IF IN BETWEEN SIZES ORDER HALF SIZE DOWN (SIZE 9.5 ORDERS SIZE 9) PREMIUM QUALITY:Designed in NYC and Handcrafted in Brazil,our footwear is hand-stitched and crafted from premier quality leathers using state of the",,,,,,,,,,,
B0CB27GMQS,Fila mens Disruptor 2 No-sew,Fashion Sneakers,"Clothing, Shoes & Jewelry > Men > Shoes > Fashion Sneakers",69.9,Fila,mens,,,Fila,,"100% Leather Lace-Up closure Machine Wash Be bold and provocative. Remain vintage, but never conventional. Radiate sophistication and style without sacrificing performance. Inspired by vintage athletic wear. Retro looks, with classic stylin",Fila's transformation into a leading global designer of high-end sportswear has been one of continual evolution driven by a philosophy of innovation that lies at the heart of their most successful designs. Fila has enjoyed a special relatio,,,,,,,,,,
B00AR9656M,K-SWISS Women's The Classic Lite Fashion Sneaker,Fashion Sneakers,"Clothing, Shoes & Jewelry > Women > Shoes > Fashion Sneakers",,K-Swiss,Womens,,,K-Swiss,,100% Synthetic Imported Synthetic sole K-SWISS THE CLASSIC LITE,"K-Swiss is a heritage American tennis brand founded by two Swiss brothers who moved to California to pursue their dream of starting a footwear company. After 50 years of representing the best of on court performance and off court style, K-S",,,,,,,,,,
B07X5Z6CVC,"Hybrid Green Label Men's Trek High Top Athletic Casual Tennis Hiking Walking Working Shoes, Sneakers, and Boots",Fashion Sneakers,"Clothing, Shoes & Jewelry > Men > Shoes > Fashion Sneakers",,VINTAGE FOUNDRY CO. EST. 2014,,,,,,"Rubber, rubber sole Shaft measures approximately 4.5"" from arch Heel measures approximately 1"" FASHION STYLE & DESIGN: The best view comes after the hardest climb! Lace up the Trek Sneakers and get going on your next adventure. Sporting a s",,,,,,,,,,,
B077137QVT,The Fix Women's Sonya Scrunch Metallic Ballet Flat,Flats,"Clothing, Shoes & Jewelry > Women > Shoes > Flats",,The Fix,Womens,,,The Fix,,100% Leather Imported Synthetic sole The classic ballet flat is fashioned from eye-catching metallic crackled leather with a pointed toe for a chic look,"An Amazon brand - The classic ballet flat is fashioned from eye-catching metallic crackled leather with a pointed toe for a chic look The Fix believes that a girl can never have too many shoes, bags, or instagram followers, which is why our",,,,,,,,,,
B00DU0KJIU,Clarks Women's Ashland India Mary Jane Flat,Flats,"Clothing, Shoes & Jewelry > Women > Shoes > Flats",,Clarks,womens,,,Clarks,,"100% Leather Imported Synthetic sole Heel measures approximately 1"" Platform measures approximately 0.5"" Sophisticated flat with open, strappy design and antiqued metal details","Clarks has been in business for over 100 years making very fine men's dress shoes in a variety of styles. Featuring a wide range of top-quality components, Clarks gives you the options you desire in the quality you demand.",,,,,,,,,,
B09SQF8TJJ,Arezzo Women's Aurora Flat Sandal,Flats,"Clothing, Shoes & Jewelry > Women > Shoes > Sandals > Flats",69.0,Arezzo,womens,,,,,Rubber sole Synthetic Insole: This tough rubber material makes for a luxe appeal and made for day to day wear Strappy Sandal: Delicate balance of rhinestoned and braided straps that meet together to a stylish centered knot. Slip-On: Take th,Move with the Aurora. This mixed media slide sandal has every detail imagined from rhinestones and braided straps to a striking centered knot. This trendy style is handcrafted to make you stand out in the crowd that you can use day to day a,,,,,,,,,,
B008KLHRRK,Dansko Women's Jovie Sandal,Flats,"Clothing, Shoes & Jewelry > Women > Shoes > Sandals > Flats",,Dansko,,,,,,100% Leather Imported Synthetic sole Strappy leather sandal featuring metallic studs and adjustable backstrap with hook-and-loop closure Molded cork midsole Padded footbed,,,,,,,,,,,
B07NQBPB3N,Wollanlily Women Summer Flat Sandals Bohemia T-Strap Elastic Back Beach Thong Flip Flop Shoes Apricot US 5.5,Flats,"Clothing, Shoes & Jewelry > Women > Shoes > Sandals > Flats",,Wollanlily,Womens,,,,,,,,,,,,,,,,
B08SS3KDSQ,The Drop Women's Zebra Print Long-Sleeve Button-Down Shirt by @wearetwinset,Blouses & Button-Down Shirts,"Clothing, Shoes & Jewelry > Women > Clothing > Tops, Tees & Blouses > Blouses & Button-Down Shirts",,The Drop,womens,Zebra Print,,The Drop,,"100% Polyester Imported Button closure Machine Wash Made of a medium-weight, non-stretch, soft polyester fabric This button-down shirt has functional button closures at sleeve cuffs. Sarah is 5'5""/166 cm and wearing a size S. This shirt is ",The Drop partners with international influencers to design of-the-moment collections that could release at any instant-and are gone in 30 hours or less. Pair these designs with everyday pieces from Staples by The Drop to create your own des,,,,,,,,,,
B00MG8QPTY,Mishu Women's MR38A Pixie Slit Top,Blouses & Button-Down Shirts,"Clothing, Shoes & Jewelry > Women > Clothing > Tops, Tees & Blouses > Blouses & Button-Down Shirts",,Mishu,Womens,,,,,"Cotton Lycra Cold water wash, hang dry Made in India","Very popular top with slit sleeves and hems coming down to a point on front and back. Add some flair to any outfit or make it part of a statement piece. Small: Chest: 32""-35"" Hip: 32""-35"" Shortest length: 24"" Medium: Chest: 34""-37"" Hip: 36""",,,,,,,,,,
B0B18MM3RR,JoyJoy Womens Casual Square Neck Tops Off The Shoulder Puff Ruffle Long Sleeve Smocked Blouses Shirts White L,Blouses & Button-Down Shirts,"Clothing, Shoes & Jewelry > Women > Clothing > Tops, Tees & Blouses > Blouses & Button-Down Shirts",,JoyJoy,womens,,,,,"95% Polyester, 5% Spandex Imported Pull On closure Hand Wash Only [Material] Puff long sleeve blouses is made of 95% polyester and 5% spandex. It's soft, lightweight and breathable [Features] Puff sleeve tops for women, lace long sleeve, fl",,,,,,,,,,,
B09N31L1VZ,SweatyRocks Women's Casual Off Shoulder Square Neck Button Front Ribbed Knit Slim Tee Shirt Blouse Tops Black M,Blouses & Button-Down Shirts,"Clothing, Shoes & Jewelry > Women > Clothing > Tops, Tees & Blouses > Blouses & Button-Down Shirts",,SweatyRocks,Womens,,,,,100% Polyester Machine wash and Hand wash,,,,,,,,,,,
B07DVF38F8,"MISS MOLY Womens Lightweight Multi-Pocket Zip up Jackets Windbreaker Bomber Outwear Warm-Keeping Coat Black,Large",Blouses & Button-Down Shirts,"Clothing, Shoes & Jewelry > Women > Clothing > Tops, Tees & Blouses > Blouses & Button-Down Shirts",,MISS MOLY,womens,,,,,"❤ PLEASE CHOOSE YOUR SIZE BASED ON BUST MEASUREMENT BELOW (✔✔✔Bust (XS)33 inches (S)35 inches (M)37 inches (L)40 inches (XL)43 inches) Zipper closure Machine Wash ❤ Relaxed fit, classic O-neck long sleeve bomber jacket, rib collar, and cuff","❤❤Clearance Womens Lightweight Multi-Pocket Zip up Jackets Rib Collar Windbreaker Fastening Front Bomber Outwear Warm-Keeping CoatCategory: Basic Jacket Fitting: Relaxed Fit Occasion: Day-to-Night, Party Sleeve Style: Long Sleeves Neck Styl",,,,,,,,,,
B00QGXWJ72,Ted Baker Men's Leeno Slip-On Loafer,Loafers & Slip-Ons,"Clothing, Shoes & Jewelry > Men > Shoes > Loafers & Slip-Ons",,Ted Baker,mens,,,Ted Baker London,,100% Textile Imported Synthetic sole,"From the beginning Ted has had a very clear, unswerving, focus on quality, attention to detail, and a quirky sense of humour. In fact, the first Ted Baker stores used to provide a laundry service for every shirt purchased--something that ga",,,,,,,,,,
B01G7ARHSE,LOUECHY Men's Notus Mesh Walking Loafers Breathable Casual Shoes Lightweight Driving Shoes,Loafers & Slip-Ons,"Clothing, Shoes & Jewelry > Men > Shoes > Loafers & Slip-Ons",,LOUECHY,Mens,,,,,"Rubber sole Mesh textile upper with suede or split-leather. Lightweight and breathable, these shoes with flat outsole and soft insole comfortable fit for walking. The upper made of mesh textile means super breathable and quick-drying, allow",,,,,,,,,,,
B07TZBWLLL,ComeShun Women Shoes Comfort Slip On Driving Moccasins Penny Loafers Flats,Loafers & Slip-Ons,"Clothing, Shoes & Jewelry > Women > Shoes > Loafers & Slip-Ons",,ComeShun,Womens,,,,,"Rubber sole CLASSIC DESIGN:Penny loafer shoes are made from VEGAN leather COLORS AVAILABLE: Black,camel,blue,grey,red and black PU. BREATHABLE COMFORT: ComeShun Moccasins offer comfy support and breathability SKIDPROOF: High quality sole go",Brand information We are a professional shoe brand which carries stylish and an affordable women's footwear. We offer the best quality at low price and confidently ensure the prestige quality of our products. Our shoes not only provide time,,,,,,,,,,
B00IRKEW90,Rj's Fuzzies Ladies RJs-101 Moccasin Slipper Sheepskin Cheastnut Medium Width (9),Loafers & Slip-Ons,"Clothing, Shoes & Jewelry > Women > Shoes > Loafers & Slip-Ons",,Cloud Nine Sheepskin,Womens,,,,,Synthetic sole Cowhide Suede upper Versatile sole is great for indoor and outdoor wearing Made from the highest quality materials Great for everyday use A gift any father or husband would love!,"Cowhide Suede Upper Versatile sole is great for Indoor and Outdoor wearing Made from the highest quality materials Great for everyday use A Gift any Mother, Wife or Daughter would love! Colors, dye lots, and markings may vary from picture. ",,,,,,,,,,
B077KFN2NL,Urban Fox Men's Francis Slip-On Fashion Sneakers | Slip On Shoes Men | Mens Sneakers | Suede Shoes |…,Loafers & Slip-Ons,"Clothing, Shoes & Jewelry > Men > Shoes > Loafers & Slip-Ons",,Urban Fox,mens,,,Urban Fox,,"Imported Rubber sole Imported Lightweight, soft and comfortable design Slip-on Closure Durable and flexible rubber outsole",Urban Fox Men's Francis Slip-On Fashion Sneakers | Slip On Shoes Men | Mens Sneakers | Suede Shoes |,,,,,,,,,,
B075P1L8SZ,"EMVANV Women's Product (Medium, Grey White)",Dresses,"Clothing, Shoes & Jewelry > Novelty & More > Clothing > Novelty > Women > Dresses",,EMVANV,womens,,,,,,,,,,,,,,,,
B09PMV7WYK,Milumia Women's Elegant One Shoulder Tie Side Short Sleeve Plain Short Tunic Dress,Dresses,"Clothing, Shoes & Jewelry > Women > Clothing > Dresses",,Milumia,womens,,,,,"100% Polyester Tie closure Machine Wash Material: 100% Polyester; Fabric has no stretch; Soft and comfy to wear Feature: Asymmetrical Neck, Tie Side, One Shoulder, Short Sleeve, Tunic, Short, Straight, Elegant Occasion: Suitable for Work, O","Size Chart: X-Small: Length:32.9"", Bust:37"", Waist Size:35.8""/ Small: Length:33.7"", Bust:38.6"", Waist Size:37.4""/ Medium: Length:34.4"", Bust:40.2"", Waist Size:39""/ Large: Length:35.2"", Bust:42.5"", Waist Size:41.3""",,,,,,,,,,
B07H5HPLRY,Le Mou Women's Sleeveless Floral Print Waist Tie Up Midi Length Feminine Dress,Dresses,"Clothing, Shoes & Jewelry > Women > Clothing > Dresses",,Le Mou,Womens,,,Le Mou,,Georgette Tie closure Floral Print Sleeveless Dress Simple Waist Tie up Attached Linning Georgette Fabric,,,,,,,,,,,
B091YS1NJT,JASCLS Women Summer Casual Short Sleeve Floral Printed Flowy Dresses,Dresses,"Clothing, Shoes & Jewelry > Women > Clothing > Dresses",,JASCLS,Womens,,,JASCLS,,"100% Polyester 按钮 closure Machine Wash 💕 Material： 100% Polyester，super soft and good shape. 💕Vintage Design: Bright Colors, flower printed graphic, casual loose style, short sleeve flower printed cute flowy dresses. 💕 Cross v neck and shor",,,,,,,,,,,
B082NRSLD9,"ULTRANICE Women's Summer Floral Sleeveless Adjustable Spaghetti Backless Short Dress(FloralO,M)",Dresses,"Clothing, Shoes & Jewelry > Women > Clothing > Dresses",,ULTRANICE,womens,,,,,"Fabric: soft and stretchy but not clingy, comfy to wear Pull On closure Hand Wash Only Features: fashion leopard print dress, sundress, v-neck, backless, sleeveless, elastic waistline, with pockets Floral summer dress with adjustable spaghe",,,,,,,,,,,
